Sl. No.,Name of the Police Station,Land line number,Mobile number,E-mail address
1,Ananda Bazar Police Station,913824-298-686,9436773517,ocanbps@tripurapolice.nic.in
2,Churaibari Police Station,913822-290-935,9436773506,occrbps@tripurapolice.nic.in
3,Damcherra Police Station,913822-268-204,9436773510,ocdmcps@tripurapolice.nic.in
4,Dharmanagar Police station,913822-220-204,9436773502,ocdmnps@tripurapolice.nic.in
5,Kadamtala Police Station,913822-263-271,9436773505,ockdtps@tripurapolice.nic.in
6,Kanchanpur Police Station,913824-265-209,9436773513,ockcpps@tripurapolice.nic.in
7,Khedacherra Police Station,913824-298-687,9436773511,ockdcps@tripurapolice.nic.in
8,Panisagar Police Station,913822-261-223,9436773507,ocpnsps@tripurapolice.nic.in
10,Vangmun Police Station,913824-290-880,9436773516,ocvgmps@tripurapolice.nic.in
11,Women Police Station  Dharmanager,,9436773504,ocdmnwps@tripurapolice.nic.in
Sepahijala Tripura District,,,,
1,Bishalgarh Police Station,91381-236-1244,9436773580,ocblg@tripurapolice.nic.in
2,Bishalghar Women Police Station,0381-2361091,9436773592,ocblgw@tripurapolice.nic.in
3,Bishramganj Police Station,91381-286-7377,9436773581,ocbishramg@tripurapolice.nic.in
4,Jatrapur Police Station,91381-285-1236,9436773587,ocjtp@tripurapolice.nic.in
5,Kalamcherra Police Station,91381-285-3236,9436773588,ocklc@tripurapolice.nic.in
6,Melagarh Police Station,91381-252-4232,9436773582,ocmlg@tripurapolice.nic.in
7,Sonamura Police Station,91381-275-0234,9436773585,ocsnm@tripurapolice.nic.in
8,Takarjala Police Station,91381-286-6254,9436773589,octkj@tripurapolice.nic.in
9,Jampaijala Police Station,,9436773590,ocjamp@tripurapolice.nic.in
South Tripura District,NA,913823-262-322,,
1,Baikhora Police Station,913823-222-214,9436773608,ocbkrps@tripurapolice.nic.in
2,Belonia Police Station,,9436773605,ocblnps@tripurapolice.nic.in
3,Belonia  women Police Station,913823-266-236,9436773612,ocblnwps@tripurapolice.nic.in
4,Manubazar Police Station,913823-264-365,9436773609,ocmnbps@tripurapolice.nic.in
5,P.R.Bari Police Station,913823-270-222,9436773606,ocprbps@tripurapolice.nic.in
6,Sabroom Police Station,913823-262-231,9436773611,ocsbmps@tripurapolice.nic.in
7,Santirbazar Police Station,,9436773607,ocstbps@tripurapolice.nic.in
Unakoti Tripura District,,,,
1,Kailashahar Police Station,913824-222-283,9436773518,ockls@tripurapolice.nic.in
2,Kumarghat Police Station,913824-261-204,9436773521,ockgtps@tripurapolice.nic.in
3,Pecharthal Police Station,913822-265-273,9436773522,ocptl@tripurapolice.nic.in
4,Kailashahar Women  PS,-,9436773519,ocklsw@tripurapolice.nic.in
5,Irani Police Station,913824-222-340,9436773520,ociranips@tripurapolice.nic.in
Dhalai Tripura District,,,,
1,Ambassa Police station.,913826-222-246,9436773528,ocambassps@tripurapolice.nic.in
2,Chailengta Police Station.,913824-264-251,9436773540,occhailengtaps@tripurapolice.nic.in
3,Chawmanu Police Station.,913824-268-220,9436773539,occhawmanups@tripurapolice.nic.in
4,Dhumacherra Police Station.,913824-21-1054,9436773537,ocdhumacherraps@tripurapolice.nic.in
5,Gandacherra Police Station.,913826-265-237,9436773531,ocgandacherraps@tripurapolice.nic.in
6,Ganganagar Police Station.,913826-29-0836,9436773529,ocganganagarps@tripurapolice.nic.in
7,Kachucherra Police Station.,913826-263-330,9436773527,ockachucherraps@tripurapolice.nic.in
8,Kamalpur Police Station.,913826-262-234,9436773524,ockamalpurps@tripurapolice.nic.in
9,Manikpur Police Station.,913824-29-2642,9436773541,ocmanikpurps@tripurapolice.nic.in
10,Manu Police Station.,913824-262-239,9436773533,ocmanups@tripurapolice.nic.in
11,Nepal Tilla Police Station.,913824-263-462,9436773534,ocnepaltillaps@tripurapolice.nic.in
12,Raishyabari Police Station.,913826-29-0835,9436773532,ocraishyabarips@tripurapolice.nic.in
13,Salema Police Station.,913826-263-239,9436773525,ocsalemapsps@tripurapolice.nic.in
G.R.P. Police station,,,,
1,OC Agartala,9436773620,9436773620,
2,OC Teliamura,9436773618,9436773618,
3,OC Ambassa,9436773615,9436773615,
4,OC Manu,9436773614,9436773614,
5,OC Darmanagar,9436773613,9436773613,
,,,,
